Product Name,Price,Image URL,Local Image Path,Product Page
Pop Star,$49.99 USD$54.99 USD,,product_images/Pop_Star.jpg,https://ersanails.com/collections/all/products/pop-star
Sea Salt,$124.99 USD$169.96 USD,,product_images/Sea_Salt.jpg,https://ersanails.com/collections/all/products/sea-salt
Coastal Breeze,$154.99 USD$214.96 USD,,product_images/Coastal_Breeze.jpg,https://ersanails.com/collections/all/products/coastal-breeze
Boho Queen,$139.99 USD$189.96 USD,,product_images/Boho_Queen.jpg,https://ersanails.com/collections/all/products/boho-queen
Lemon Soda,$44.99 USD,,product_images/Lemon_Soda.jpg,https://ersanails.com/collections/all/products/lemon-soda
Bad Girl,$59.99 USD,,product_images/Bad_Girl.jpg,https://ersanails.com/collections/all/products/bad-girl
Tulip Fairy,$44.99 USD$49.99 USD,,product_images/Tulip_Fairy.jpg,https://ersanails.com/collections/all/products/tulip-fairy
Petite Fleur,$44.99 USD,,product_images/Petite_Fleur.jpg,https://ersanails.com/collections/all/products/petite-fleur-1
Thetis,$64.99 USD$69.99 USD,,product_images/Thetis.jpg,https://ersanails.com/collections/all/products/thetis
When the Rain Stops,$49.99 USD,,product_images/When_the_Rain_Stops.jpg,https://ersanails.com/collections/all/products/when-the-rain-stops
Jelly Sweets,$44.99 USD,,product_images/Jelly_Sweets.jpg,https://ersanails.com/collections/all/products/jelly-sweets
Sundazed,$44.99 USD,,product_images/Sundazed.jpg,https://ersanails.com/collections/all/products/sundazed
Getaway Mode,$114.99 USD$149.97 USD,,product_images/Getaway_Mode.jpg,https://ersanails.com/collections/all/products/getaway-mode
Lunaflora,$44.99 USD$49.99 USD,,product_images/Lunaflora.jpg,https://ersanails.com/collections/all/products/lunaflora
Dewlit Gold,$34.99 USD$39.99 USD,,product_images/Dewlit_Gold.jpg,https://ersanails.com/collections/all/products/dewlit-gold
Jade Bamboo,$44.99 USD$49.99 USD,,product_images/Jade_Bamboo.jpg,https://ersanails.com/collections/all/products/jade-bamboo
Golden Osmanthus,$49.99 USD$54.99 USD,,product_images/Golden_Osmanthus.jpg,https://ersanails.com/collections/all/products/golden-osmanthus
Lunar Fantasies,$34.99 USD$39.99 USD,,product_images/Lunar_Fantasies.jpg,https://ersanails.com/collections/all/products/lunar-fantasies
Celestial Star,$34.99 USD$39.99 USD,,product_images/Celestial_Star.jpg,https://ersanails.com/collections/all/products/celestial-star
Ersa F05 - Black Swan,$29.99 USD,,product_images/Ersa_F05_-_Black_Swan.jpg,https://ersanails.com/collections/all/products/ersa-f05-black-swan
Ersa F04 - Red Velvet,$29.99 USD,,product_images/Ersa_F04_-_Red_Velvet.jpg,https://ersanails.com/collections/all/products/ersa-f04-red-velvet
Make a Wish,$44.99 USD,,product_images/Make_a_Wish.jpg,https://ersanails.com/collections/all/products/make-a-wish
Sumptuous,$44.99 USD,,product_images/Sumptuous.jpg,https://ersanails.com/collections/all/products/sumptuous
Gilded Garden,$44.99 USD$49.99 USD,,product_images/Gilded_Garden.jpg,https://ersanails.com/collections/all/products/gilded-garden
Rose Garden,$49.99 USD,,product_images/Rose_Garden.jpg,https://ersanails.com/collections/all/products/rose-garden
Adorable,$49.99 USD,,product_images/Adorable.jpg,https://ersanails.com/collections/all/products/adorable
Free Soul,$44.99 USD$54.99 USD,,product_images/Free_Soul.jpg,https://ersanails.com/collections/all/products/free-soul
Butterfly Kisses,$49.99 USD$54.99 USD,,product_images/Butterfly_Kisses.jpg,https://ersanails.com/collections/all/products/butterfly-kisses
Lemon Cream,$44.99 USD,,product_images/Lemon_Cream.jpg,https://ersanails.com/collections/all/products/lemon-cream
New Season,$39.99 USD,,product_images/New_Season.jpg,https://ersanails.com/collections/all/products/new-season
Petal Perfection,$39.99 USD$44.99 USD,,product_images/Petal_Perfection.jpg,https://ersanails.com/collections/all/products/petal-perfection
Beachside Fizz,$44.99 USD$49.99 USD,,product_images/Beachside_Fizz.jpg,https://ersanails.com/collections/all/products/beachside-fizz
Aurora Pearls,$34.99 USD$39.99 USD,,product_images/Aurora_Pearls.jpg,https://ersanails.com/collections/all/products/aurora-pearls
Starlit Fairytale,$44.99 USD,,product_images/Starlit_Fairytale.jpg,https://ersanails.com/collections/all/products/starlit-fairytale
Verdant Dreams,$44.99 USD$49.99 USD,,product_images/Verdant_Dreams.jpg,https://ersanails.com/collections/all/products/verdant-dreams
Libre,$44.99 USD$54.99 USD,,product_images/Libre.jpg,https://ersanails.com/collections/all/products/libre
Inflorescence,$44.99 USD,,product_images/Inflorescence.jpg,https://ersanails.com/collections/all/products/inflorescence
Floral Whimsy,$54.99 USD,,product_images/Floral_Whimsy.jpg,https://ersanails.com/collections/all/products/floral-whimsy
Beyond the Celestial,$39.99 USD,,product_images/Beyond_the_Celestial.jpg,https://ersanails.com/collections/all/products/beyond-the-celestial
Blue Heart,$34.99 USD,,product_images/Blue_Heart.jpg,https://ersanails.com/collections/all/products/blue-heart
Fallen Angel,$59.99 USD,,product_images/Fallen_Angel.jpg,https://ersanails.com/collections/all/products/fallen-angel
Forget Me Not,$39.99 USD,,product_images/Forget_Me_Not.jpg,https://ersanails.com/collections/all/products/forget-me-not
White Ribbon,$39.99 USD,,product_images/White_Ribbon.jpg,https://ersanails.com/collections/all/products/white-ribbon
Verdant Poem,$39.99 USD,,product_images/Verdant_Poem.jpg,https://ersanails.com/collections/all/products/verdant-poem
Golden Magnolia,$39.99 USD$44.99 USD,,product_images/Golden_Magnolia.jpg,https://ersanails.com/collections/all/products/golden-magnolia
Forever Only,$39.99 USD,,product_images/Forever_Only.jpg,https://ersanails.com/collections/all/products/forever-only
Honeyed Vows,$39.99 USD$44.99 USD,,product_images/Honeyed_Vows.jpg,https://ersanails.com/collections/all/products/honeyed-vows
Gilded Mist,$44.99 USD,,product_images/Gilded_Mist.jpg,https://ersanails.com/collections/all/products/gilded-mist
Le Grand Bleu,$44.99 USD$49.99 USD,,product_images/Le_Grand_Bleu.jpg,https://ersanails.com/collections/all/products/le-grand-bleu
Dream Bouquet,$49.99 USD$54.99 USD,,product_images/Dream_Bouquet.jpg,https://ersanails.com/collections/all/products/dream-bouquet
Sea Breeze,$39.99 USD,,product_images/Sea_Breeze.jpg,https://ersanails.com/collections/all/products/sea-breeze
La Reine,$54.99 USD$64.99 USD,,product_images/La_Reine.jpg,https://ersanails.com/collections/all/products/la-reine
Burgundy Enchantress,$39.99 USD$44.99 USD,,product_images/Burgundy_Enchantress.jpg,https://ersanails.com/collections/all/products/burgundy-enchantress
